Title: Checking HKA test with 1000 loci from 9001 to 10000 using the file  ./cut_mstatspop_4OutgT2t100_1e6.txt 
100
IDlocus	nsam	SegSites	Divergence	length_pol	length_div	factor_chrn
9001	4	71	402.500000	10000.00	10000.00	1
9002	4	177	555.250000	10000.00	10000.00	1
9003	4	95	380.250000	10000.00	10000.00	1
9004	4	250	507.500000	10000.00	10000.00	1
9005	4	196	412.500000	10000.00	10000.00	1
9006	4	198	644.500000	10000.00	10000.00	1
9007	4	172	862.500000	10000.00	10000.00	1
9008	4	78	423.250000	10000.00	10000.00	1
9009	4	185	539.750000	10000.00	10000.00	1
9010	4	32	471.250000	10000.00	10000.00	1
9011	4	462	412.750000	10000.00	10000.00	1
9012	4	200	666.500000	10000.00	10000.00	1
9013	4	95	433.500000	10000.00	10000.00	1
9014	4	195	452.500000	10000.00	10000.00	1
9015	4	129	523.500000	10000.00	10000.00	1
9016	4	125	359.250000	10000.00	10000.00	1
9017	4	151	417.000000	10000.00	10000.00	1
9018	4	207	476.250000	10000.00	10000.00	1
9019	4	90	493.500000	10000.00	10000.00	1
9020	4	62	463.250000	10000.00	10000.00	1
9021	4	94	425.750000	10000.00	10000.00	1
9022	4	11	438.250000	10000.00	10000.00	1
9023	4	273	430.250000	10000.00	10000.00	1
9024	4	363	570.750000	10000.00	10000.00	1
9025	4	277	570.250000	10000.00	10000.00	1
9026	4	73	623.750000	10000.00	10000.00	1
9027	4	102	447.250000	10000.00	10000.00	1
9028	4	155	468.750000	10000.00	10000.00	1
9029	4	19	459.500000	10000.00	10000.00	1
9030	4	71	397.750000	10000.00	10000.00	1
9031	4	163	498.000000	10000.00	10000.00	1
9032	4	111	436.000000	10000.00	10000.00	1
9033	4	190	658.250000	10000.00	10000.00	1
9034	4	105	491.250000	10000.00	10000.00	1
9035	4	105	413.250000	10000.00	10000.00	1
9036	4	249	433.500000	10000.00	10000.00	1
9037	4	78	686.500000	10000.00	10000.00	1
9038	4	377	529.750000	10000.00	10000.00	1
9039	4	49	564.000000	10000.00	10000.00	1
9040	4	229	749.750000	10000.00	10000.00	1
9041	4	399	474.250000	10000.00	10000.00	1
9042	4	207	493.000000	9999.00	9999.00	1
9043	4	215	406.500000	10000.00	10000.00	1
9044	4	153	411.250000	10000.00	10000.00	1
9045	4	208	403.500000	9999.00	9999.00	1
9046	4	266	457.250000	9999.00	9999.00	1
9047	4	75	553.500000	10000.00	10000.00	1
9048	4	98	529.250000	10000.00	10000.00	1
9049	4	98	387.500000	10000.00	10000.00	1
9050	4	69	715.000000	10000.00	10000.00	1
9051	4	113	441.000000	10000.00	10000.00	1
9052	4	76	593.750000	10000.00	10000.00	1
9053	4	163	441.000000	10000.00	10000.00	1
9054	4	356	484.000000	10000.00	10000.00	1
9055	4	383	419.250000	10000.00	10000.00	1
9056	4	104	636.750000	10000.00	10000.00	1
9057	4	149	451.000000	10000.00	10000.00	1
9058	4	125	743.750000	10000.00	10000.00	1
9059	4	309	470.000000	10000.00	10000.00	1
9060	4	191	398.500000	10000.00	10000.00	1
9061	4	120	721.000000	10000.00	10000.00	1
9062	4	689	548.500000	9999.00	9999.00	1
9063	4	105	408.500000	10000.00	10000.00	1
9064	4	335	408.500000	10000.00	10000.00	1
9065	4	297	406.750000	10000.00	10000.00	1
9066	4	336	569.750000	10000.00	10000.00	1
9067	4	140	578.000000	10000.00	10000.00	1
9068	4	371	464.500000	10000.00	10000.00	1
9069	4	127	823.250000	9999.00	9999.00	1
9070	4	140	428.250000	10000.00	10000.00	1
9071	4	92	698.000000	10000.00	10000.00	1
9072	4	229	487.000000	10000.00	10000.00	1
9073	4	245	448.000000	10000.00	10000.00	1
9074	4	140	679.750000	9999.00	9999.00	1
9075	4	45	506.250000	10000.00	10000.00	1
9076	4	158	513.500000	10000.00	10000.00	1
9077	4	228	426.500000	10000.00	10000.00	1
9078	4	37	423.250000	10000.00	10000.00	1
9079	4	154	519.000000	10000.00	10000.00	1
9080	4	303	510.500000	10000.00	10000.00	1
9081	4	119	442.000000	10000.00	10000.00	1
9082	4	190	489.250000	10000.00	10000.00	1
9083	4	222	600.500000	10000.00	10000.00	1
9084	4	66	516.750000	10000.00	10000.00	1
9085	4	55	407.250000	10000.00	10000.00	1
9086	4	673	466.000000	10000.00	10000.00	1
9087	4	194	678.750000	9999.00	9999.00	1
9088	4	138	491.750000	10000.00	10000.00	1
9089	4	90	662.250000	10000.00	10000.00	1
9090	4	217	542.500000	10000.00	10000.00	1
9091	4	104	524.750000	10000.00	10000.00	1
9092	4	479	408.500000	10000.00	10000.00	1
9093	4	382	565.500000	10000.00	10000.00	1
9094	4	154	440.500000	9999.00	9999.00	1
9095	4	133	408.000000	10000.00	10000.00	1
9096	4	194	594.000000	10000.00	10000.00	1
9097	4	270	506.500000	10000.00	10000.00	1
9098	4	216	514.250000	10000.00	10000.00	1
9099	4	180	444.750000	10000.00	10000.00	1
9100	4	105	482.000000	10000.00	10000.00	1
